Timestamp,price
8/8/2017 22:00,25
8/8/2017 23:00,25
8/9/2017 0:00,25
8/9/2017 1:00,25
8/9/2017 2:00,25
8/9/2017 3:00,25
8/9/2017 4:00,25
8/9/2017 5:00,25
8/9/2017 6:00,25
8/9/2017 7:00,25
8/9/2017 8:00,35
8/9/2017 9:00,35
8/9/2017 10:00,35
8/9/2017 11:00,35
8/9/2017 12:00,35
8/9/2017 13:00,35
8/9/2017 14:00,75
8/9/2017 15:00,75
8/9/2017 16:00,75
8/9/2017 17:00,75
8/9/2017 18:00,75
8/9/2017 19:00,35
8/9/2017 20:00,35
8/9/2017 21:00,35
8/9/2017 22:00,25
8/9/2017 23:00,25
8/10/2017 0:00,25
8/10/2017 1:00,25
8/10/2017 2:00,25
8/10/2017 3:00,25
8/10/2017 4:00,25
8/10/2017 5:00,25
8/10/2017 6:00,25
8/10/2017 7:00,25
8/10/2017 8:00,35
8/10/2017 9:00,35
8/10/2017 10:00,35
8/10/2017 11:00,35
8/10/2017 12:00,35
8/10/2017 13:00,35
8/10/2017 14:00,75
8/10/2017 15:00,75
8/10/2017 16:00,75
8/10/2017 17:00,75
8/10/2017 18:00,75
8/10/2017 19:00,35
8/10/2017 20:00,35
8/10/2017 21:00,35
8/10/2017 22:00,25
8/10/2017 23:00,25
8/11/2017 0:00,25
8/11/2017 1:00,25
8/11/2017 2:00,25
8/11/2017 3:00,25
8/11/2017 4:00,25
8/11/2017 5:00,25
8/11/2017 6:00,25
8/11/2017 7:00,25
8/11/2017 8:00,35
8/11/2017 9:00,35
8/11/2017 10:00,35
8/11/2017 11:00,35
8/11/2017 12:00,35
8/11/2017 13:00,35
8/11/2017 14:00,75
8/11/2017 15:00,75
8/11/2017 16:00,75
8/11/2017 17:00,75
8/11/2017 18:00,75
8/11/2017 19:00,35
8/11/2017 20:00,35
8/11/2017 21:00,35
8/11/2017 22:00,25
8/11/2017 23:00,25
8/12/2017 0:00,25
8/12/2017 1:00,25
8/12/2017 2:00,25
8/12/2017 3:00,25
8/12/2017 4:00,25
8/12/2017 5:00,25
8/12/2017 6:00,25
8/12/2017 7:00,25
8/12/2017 8:00,35
8/12/2017 9:00,35
8/12/2017 10:00,35
8/12/2017 11:00,35
8/12/2017 12:00,35
8/12/2017 13:00,35
8/12/2017 14:00,75
8/12/2017 15:00,75
8/12/2017 16:00,75
8/12/2017 17:00,75
8/12/2017 18:00,75
8/12/2017 19:00,35
8/12/2017 20:00,35
8/12/2017 21:00,35
8/12/2017 22:00,25
8/12/2017 23:00,25
8/13/2017 0:00,25
8/13/2017 1:00,25
8/13/2017 2:00,25
8/13/2017 3:00,25
8/13/2017 4:00,25
8/13/2017 5:00,25
8/13/2017 6:00,25
8/13/2017 7:00,25
8/13/2017 8:00,35
8/13/2017 9:00,35
8/13/2017 10:00,35
8/13/2017 11:00,35
8/13/2017 12:00,35
8/13/2017 13:00,35
8/13/2017 14:00,75
8/13/2017 15:00,75
8/13/2017 16:00,75
8/13/2017 17:00,75
8/13/2017 18:00,75
8/13/2017 19:00,35
8/13/2017 20:00,35
8/13/2017 21:00,35
8/13/2017 22:00,25
8/13/2017 23:00,25
8/14/2017 0:00,25
8/14/2017 1:00,25
8/14/2017 2:00,25
8/14/2017 3:00,25
8/14/2017 4:00,25
8/14/2017 5:00,25
8/14/2017 6:00,25
8/14/2017 7:00,25
8/14/2017 8:00,35
8/14/2017 9:00,35
8/14/2017 10:00,35
8/14/2017 11:00,35
8/14/2017 12:00,35
8/14/2017 13:00,35
8/14/2017 14:00,75
8/14/2017 15:00,75
8/14/2017 16:00,75
8/14/2017 17:00,75
8/14/2017 18:00,75
8/14/2017 19:00,35
8/14/2017 20:00,35
8/14/2017 21:00,35
8/14/2017 22:00,25
8/14/2017 23:00,25
8/15/2017 0:00,25
8/15/2017 1:00,25
8/15/2017 2:00,25
8/15/2017 3:00,25
8/15/2017 4:00,25
8/15/2017 5:00,25
8/15/2017 6:00,25
8/15/2017 7:00,25
8/15/2017 8:00,35
8/15/2017 9:00,35
8/15/2017 10:00,35
8/15/2017 11:00,35
8/15/2017 12:00,35
8/15/2017 13:00,35
8/15/2017 14:00,75
8/15/2017 15:00,75
8/15/2017 16:00,75
8/15/2017 17:00,75
8/15/2017 18:00,75
8/15/2017 19:00,35
8/15/2017 20:00,35
8/15/2017 21:00,35
8/15/2017 22:00,25
8/15/2017 23:00,25
8/16/2017 0:00,25
8/16/2017 1:00,25
8/16/2017 2:00,25
8/16/2017 3:00,25
8/16/2017 4:00,25
8/16/2017 5:00,25
8/16/2017 6:00,25
8/16/2017 7:00,25
8/16/2017 8:00,35
8/16/2017 9:00,35
8/16/2017 10:00,35
8/16/2017 11:00,35
8/16/2017 12:00,35
8/16/2017 13:00,35
8/16/2017 14:00,75
8/16/2017 15:00,75
8/16/2017 16:00,75
8/16/2017 17:00,75
8/16/2017 18:00,75
